Source title;EEF;BMA;CS
Review of Financial Economics;Q3;NA;NA
Expert Systems with Applications;NA;NA;Q1
Journal of Forecasting;Q2;Q2;Q2
Quarterly Review of Economics and Finance;Q2;NA;NA
Applied Economics;Q2;NA;NA
Journal of Behavioral Finance;Q2;NA;NA
Applied Stochastic Models in Business and Industry;NA;Q2;NA
International Journal of Finance and Economics;Q2;Q2;NA
International Journal of Emerging Markets;NA;Q2;NA
Quantitative Finance;Q1;NA;NA
Journal of International Financial Markets;NA;NA;NA
Mathematics;NA;NA;Q2
Electronic Commerce Research;Q1;NA;Q2
International Journal of Bifurcation and Chaos;NA;NA;NA
International Review of Economics and Finance;Q1;NA;NA
Computational Economics;Q2;NA;Q2
China Finance Review International;Q1;NA;NA
Finance Research Letters;Q1;NA;NA
Journal of Empirical Finance;Q1;NA;NA
Journal of Finance and Data Science;Q2;Q1;Q2
Review of Economic Design;Q2;NA;NA
Applied Economics Letters;Q3;NA;NA
Financial Innovation;Q1;Q1;NA
Journal of Futures Markets;Q2;Q2;NA
International Review of Financial Analysis;Q1;NA;NA
Pacific Basin Finance Journal;Q1;NA;NA
Economics and Business Letters;Q3;Q3;NA
Annals of Financial Economics;Q1;Q1;NA
Journal of Economic Asymmetries;Q1;NA;NA
Bulletin of the South Ural State University;NA;NA;NA
Research in International Business and Finance;Q1;Q1;NA
Asian Review of Financial Research;Q4;NA;NA
Quality and Quantity;NA;NA;NA
International Journal of Economics and Financial Issues;-;NA;NA
North American Journal of Economics and Finance;Q1;NA;NA
Review of Quantitative Finance and Accounting;Q2;Q2;NA
Journal of Applied Econometrics;Q1;NA;NA
Statistics and Applications;NA;NA;NA
Journal of Banking and Finance;Q1;NA;NA
International Economics;Q1;Q1;NA
Connection Science;NA;NA;Q2
Journal of Financial Markets;Q1;NA;NA
Journal of Financial Econometrics;Q1;NA;NA
European Journal of Finance;Q1;NA;NA
Fluctuation and Noise Letters;NA;NA;NA
Economic Modelling;Q1;NA;NA
Econometrics and Statistics;Q2;NA;NA
Annals of Operations Research;NA;NA;NA
Romanian Journal of Economic Forecasting;Q3;NA;NA
PLoS ONE;NA;NA;NA
International Journal of Forecasting;NA;Q1;NA
Economic Research-Ekonomska Istrazivanja ;NA;NA;NA
International Journal of Banking and Finance;NA;NA;NA
Economics Letters;Q2;NA;NA
Bulletin of Economic Research;Q3;NA;NA
Bogazici Journal;NA;NA;NA
Journal of Risk and Financial Management;Q2;Q2;NA
Journal of the Royal Statistical Society. Series C: Applied Statistics;NA;NA;NA
Emerging Markets Finance and Trade;Q1;NA;NA
Physica A: Statistical Mechanics and its Applications;NA;NA;NA
Japanese Journal of Statistics and Data Science;NA;NA;Q2
Journal of Wealth Management;Q3;NA;NA
Journal of Risk;Q4;Q4;NA
Journal of the Operational Research Society;NA;Q1;NA
IAENG International Journal of Applied Mathematics;NA;NA;NA
Macroeconomics and Finance in Emerging Market Economies;Q3;NA;NA
Communications in Statistics: Simulation and Computation;NA;NA;NA
Global Finance Journal;Q1;NA;NA
International Journal of Managerial Finance;Q2;Q2;NA
Asian Economic Journal;Q3;NA;NA
Studies in Nonlinear Dynamics and Econometrics;Q3;NA;NA
Journal of International Money and Finance;Q1;NA;NA
Review of Financial Studies;Q1;Q1;NA
Revista Mexicana de Economia y Finanzas Nueva Epoca;Q4;NA;NA
Journal of Management Science and Engineering;NA;Q1;NA
Journal of the Korean Statistical Society;NA;NA;NA
Asia-Pacific Financial Markets;Q3;NA;NA
Management Science;NA;Q1;NA
Journal of Industrial Engineering and Engineering Management;NA;Q3;NA
Chaos;NA;NA;NA
Economic Systems;Q2;NA;NA
Journal of Econometrics;Q1;NA;NA
Economics Bulletin;Q4;NA;NA
Communications for Statistical Applications and Methods;Q3;NA;NA
Journal of Applied Statistics;NA;NA;NA
Empirical Economics;Q2;NA;NA
Journal of Financial Economics;Q1;Q1;NA
European Financial Management;Q1;Q1;NA
Journal of Portfolio Management;Q2;Q2;NA
IEEE Transactions on Fuzzy Systems;NA;NA;Q1
Complexity;NA;NA;Q2
Journal of Economics and Finance;Q2;NA;NA
Accounting and Finance;Q1;Q2;NA
Australian Journal of Management;NA;Q2;NA
Scottish Journal of Political Economy;Q3;NA;NA
German Economic Review;Q3;NA;NA
Engineering Economics;Q3;Q2;NA
Journal of Business and Economic Statistics;Q1;NA;NA
International Journal of Economics and Management;Q3;Q3;NA
Investment Analysts Journal;Q3;Q3;NA
Global Business Review;NA;Q2;NA
Electronic Markets;Q1;Q1;Q1
Journal of Advanced Computational Intelligence and Intelligent Informatics;NA;NA;Q3
Revista Contabilidade e Financas;Q4;Q4;NA
Review of Derivatives Research;Q2;NA;NA
Proceedings of the National Academy of Sciences of the United States of America;NA;NA;NA
Vikalpa;NA;Q4;NA
Abstract and Applied Analysis;NA;NA;NA
Advances in Intelligent and Soft Computing;NA;NA;NA
AUCO Czech Economic Review;NA;NA;NA
Japanese Economic Review;Q2;NA;NA
Discrete Dynamics in Nature and Society;NA;NA;NA
Journal of Applied Economic Sciences;NA;NA;NA
Econometric Reviews;Q1;NA;NA
American Journal of Applied Sciences;NA;NA;NA
Spanish Economic Review;NA;NA;NA
Journal of Applied Statistical Science;NA;NA;NA
Economic Computation and Economic Cybernetics Studies and Research;Q3;NA;Q3
Review of Economics and Statistics;Q1;NA;NA
Economic Change and Restructuring;Q2;NA;NA
Financial Review;Q1;NA;NA
Federal Reserve Bank of St. Louis Review;NA;Q2;NA
Applied Financial Economics;NA;NA;NA
International Journal of Business and Society;Q3;Q3;NA
International Research Journal of Finance and Economics;NA;NA;NA
Journal of Applied Economics;Q2;NA;NA
Political Analysis;NA;NA;NA
Managerial Finance;Q2;Q2;NA
Journal of Economic Theory and Econometrics;Q4;NA;NA
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090018479&doi=10.1016%2fj.chaos.2020.110252&partnerID=40&md5=5f9defd77e5498428201ed7a637f5920;
